atom_type init_Emin opt_Emin init_Rmin opt_Rmin
BRGA1 -0.48 -0.4753 1.97 1.9823
BRGA2 -0.53 -0.4831 2.05 2.0303
BRGR1 -0.32 -0.3569 1.98 1.9896
CG1N1 -0.18 -0.1732 1.87 1.8542
CG1T1 -0.1032 -0.1043 1.9925 1.9898
CG2D1 -0.068 -0.0689 2.09 2.089
CG2O1 -0.11 -0.1024 2.0 1.9845
CG2O2 -0.098 -0.0882 1.7 1.8803
CG2O4 -0.06 -0.0496 1.8 1.7993
CG2O5 -0.09 -0.082 2.0 1.9957
CG2R51 -0.05 -0.0353 2.1 2.0849
CG2R61 -0.0732 -0.0791 1.9924 1.9753
CG301 -0.032 -0.0191 2.0 1.9989
CG311 -0.032 -0.0422 2.0 1.9999
CG321 -0.056 -0.0478 2.01 2.0069
CG331 -0.078 -0.0782 2.05 2.0515
CG3C31 -0.056 -0.0619 2.01 2.0093
CLGA1 -0.343 -0.3616 1.91 1.897
CLGA3 -0.31 -0.3085 1.91 1.9137
CLGR1 -0.23 -0.2704 1.86 1.8894
FGA1 -0.135 -0.1432 1.63 1.6024
FGA2 -0.105 -0.07 1.63 1.6101
FGA3 -0.097 -0.06 1.6 1.6143
FGR1 -0.12 -0.07 1.7 1.7096
HGA1 -0.045 -0.045 1.34 1.3372
HGA2 -0.035 -0.0412 1.34 1.332
HGA3 -0.024 -0.0206 1.34 1.3418
HGA4 -0.0285 -0.0228 1.255 1.2542
HGA6 -0.028 -0.0101 1.32 1.3107
HGP1 -0.046 -0.0491 0.2245 0.2249
HGPAM1 -0.009 -0.0099 0.875 0.8749
HGR61 -0.03 -0.0175 1.3582 1.3488
HGR62 -0.046 -0.0237 1.1 1.0922
NG1T1 -0.18 -0.1741 1.79 1.7768
NG2O1 -0.2 -0.2004 1.85 1.8358
NG2R50 -0.2 -0.1972 1.85 1.8361
NG2R60 -0.06 -0.0325 1.89 1.8783
NG2R61 -0.2 -0.1984 1.85 1.8354
NG2R62 -0.05 -0.0496 2.06 2.0438
NG2S0 -0.2 -0.1944 1.85 1.8345
NG2S3 -0.2 -0.1981 1.85 1.8366
NG301 -0.035 -0.1 2.0 1.9532
NG3P0 -0.2 -0.1984 1.85 1.8354
NG3P1 -0.2 -0.1984 1.85 1.8354
OG2D1 -0.12 -0.1141 1.7 1.6886
OG2D3 -0.05 -0.0403 1.7 1.6976
OG2N1 -0.12 -0.1203 1.7 1.683
OG2P1 -0.12 -0.1004 1.7 1.4166
OG301 -0.1 -0.1185 1.65 1.4774
OG302 -0.1 -0.0579 1.65 1.7311
OG311 -0.1921 -0.1999 1.765 1.751
OG3C51 -0.1 -0.098 1.65 1.6269
PG0 -0.585 -0.4511 2.15 1.5702
SG2R50 -0.45 -0.4885 2.0 2.0145
SG301 -0.38 -0.3882 1.975 1.9678
SG311 -0.45 -0.4449 2.0 1.9518
